Save 80 - Episode 1076/1400, Score: -103.0 (0.01), AVG Score: -102.23
Save 81 - Episode 1077/1400, Score: -106.0 (0.01), AVG Score: -102.2
Save 82 - Episode 1078/1400, Score: -106.0 (0.01), AVG Score: -102.39
Save 83 - Episode 1079/1400, Score: -107.0 (0.01), AVG Score: -102.41
Save 84 - Episode 1080/1400, Score: -107.0 (0.01), AVG Score: -102.56
Save 85 - Episode 1081/1400, Score: -108.0 (0.01), AVG Score: -102.58
Save 86 - Episode 1082/1400, Score: -103.0 (0.01), AVG Score: -102.69
Save 87 - Episode 1083/1400, Score: -106.0 (0.01), AVG Score: -102.69
Save 88 - Episode 1084/1400, Score: -108.0 (0.01), AVG Score: -102.73
Save 89 - Episode 1085/1400, Score: -106.0 (0.01), AVG Score: -102.73
Save 90 - Episode 1086/1400, Score: -108.0 (0.01), AVG Score: -102.76
Save 91 - Episode 1088/1400, Score: -100.0 (0.01), AVG Score: -102.98
Save 92 - Episode 1089/1400, Score: -106.0 (0.01), AVG Score: -102.99
Save 93 - Episode 1090/1400, Score: -106.0 (0.01), AVG Score: -103.11
Save 94 - Episode 1095/1400, Score: -104.0 (0.01), AVG Score: -103.5
Save 95 - Episode 1097/1400, Score: -107.0 (0.01), AVG Score: -103.59
Save 96 - Episode 1099/1400, Score: -108.0 (0.01), AVG Score: -103.9
Save 97 - Episode 1100/1400, Score: -106.0 (0.01), AVG Score: -103.9
Save 98 - Episode 1101/1400, Score: -106.0 (0.01), AVG Score: -103.92
Save 99 - Episode 1104/1400, Score: -92.0 (0.01), AVG Score: -103.61
Save 100 - Episode 1106/1400, Score: -102.0 (0.01), AVG Score: -103.78
Save 101 - Episode 1107/1400, Score: -105.0 (0.01), AVG Score: -103.74
Save 102 - Episode 1108/1400, Score: -87.0 (0.01), AVG Score: -103.54
Save 103 - Episode 1109/1400, Score: -107.0 (0.01), AVG Score: -103.55
Save 104 - Episode 1110/1400, Score: -85.0 (0.01), AVG Score: -103.54
Save 105 - Episode 1113/1400, Score: -106.0 (0.01), AVG Score: -103.96
Save 106 - Episode 1114/1400, Score: -104.0 (0.01), AVG Score: -103.9
Save 107 - Episode 1115/1400, Score: -104.0 (0.01), AVG Score: -103.88
Save 108 - Episode 1116/1400, Score: -108.0 (0.01), AVG Score: -103.84
Save 109 - Episode 1117/1400, Score: -88.0 (0.01), AVG Score: -103.67
Save 110 - Episode 1118/1400, Score: -104.0 (0.01), AVG Score: -103.68
Save 111 - Episode 1119/1400, Score: -105.0 (0.01), AVG Score: -103.72
Save 112 - Episode 1120/1400, Score: -104.0 (0.01), AVG Score: -103.73
Save 113 - Episode 1122/1400, Score: -107.0 (0.01), AVG Score: -104.14
Save 114 - Episode 1123/1400, Score: -108.0 (0.01), AVG Score: -104.35
Save 115 - Episode 1124/1400, Score: -106.0 (0.01), AVG Score: -104.52
Save 116 - Episode 1125/1400, Score: -92.0 (0.01), AVG Score: -104.41
Save 117 - Episode 1127/1400, Score: -104.0 (0.01), AVG Score: -104.84
Save 118 - Episode 1129/1400, Score: -108.0 (0.01), AVG Score: -105.14
Save 119 - Episode 1135/1400, Score: -105.0 (0.01), AVG Score: -105.55
Save 120 - Episode 1136/1400, Score: -106.0 (0.01), AVG Score: -105.57
Save 121 - Episode 1137/1400, Score: -85.0 (0.01), AVG Score: -105.55
Save 122 - Episode 1138/1400, Score: -103.0 (0.01), AVG Score: -105.53
Save 123 - Episode 1140/1400, Score: -85.0 (0.01), AVG Score: -105.32
Save 124 - Episode 1141/1400, Score: -106.0 (0.01), AVG Score: -105.32
Save 125 - Episode 1142/1400, Score: -90.0 (0.01), AVG Score: -105.14
Save 126 - Episode 1143/1400, Score: -108.0 (0.01), AVG Score: -105.2
Save 127 - Episode 1144/1400, Score: -84.0 (0.01), AVG Score: -105.04
Save 128 - Episode 1145/1400, Score: -103.0 (0.01), AVG Score: -104.97
Save 129 - Episode 1146/1400, Score: -108.0 (0.01), AVG Score: -105.22
Save 130 - Episode 1147/1400, Score: -103.0 (0.01), AVG Score: -105.16
Save 131 - Episode 1149/1400, Score: -103.0 (0.01), AVG Score: -105.27
Save 132 - Episode 1150/1400, Score: -104.0 (0.01), AVG Score: -105.24
Save 133 - Episode 1151/1400, Score: -98.0 (0.01), AVG Score: -105.2
Save 134 - Episode 1152/1400, Score: -102.0 (0.01), AVG Score: -105.18
Save 135 - Episode 1153/1400, Score: -99.0 (0.01), AVG Score: -105.13
Save 136 - Episode 1154/1400, Score: -105.0 (0.01), AVG Score: -105.15
Save 137 - Episode 1155/1400, Score: -85.0 (0.01), AVG Score: -104.94
Save 138 - Episode 1156/1400, Score: -87.0 (0.01), AVG Score: -104.96
Save 139 - Episode 1157/1400, Score: -106.0 (0.01), AVG Score: -104.97
Save 140 - Episode 1158/1400, Score: -85.0 (0.01), AVG Score: -104.78
Save 141 - Episode 1159/1400, Score: -105.0 (0.01), AVG Score: -104.78
Save 142 - Episode 1160/1400, Score: -98.0 (0.01), AVG Score: -104.76
Save 143 - Episode 1161/1400, Score: -106.0 (0.01), AVG Score: -104.74
Save 144 - Episode 1162/1400, Score: -99.0 (0.01), AVG Score: -104.67
Save 145 - Episode 1164/1400, Score: -104.0 (0.01), AVG Score: -104.68
Save 146 - Episode 1165/1400, Score: -108.0 (0.01), AVG Score: -104.72
Save 147 - Episode 1166/1400, Score: -105.0 (0.01), AVG Score: -104.73
Save 148 - Episode 1167/1400, Score: -105.0 (0.01), AVG Score: -104.94
Save 149 - Episode 1168/1400, Score: -102.0 (0.01), AVG Score: -104.92
Save 150 - Episode 1169/1400, Score: -103.0 (0.01), AVG Score: -104.88
Save 151 - Episode 1170/1400, Score: -103.0 (0.01), AVG Score: -104.86
Save 152 - Episode 1171/1400, Score: -96.0 (0.01), AVG Score: -104.72
Save 153 - Episode 1172/1400, Score: -101.0 (0.01), AVG Score: -104.69
Save 154 - Episode 1173/1400, Score: -103.0 (0.01), AVG Score: -104.66
Save 155 - Episode 1174/1400, Score: -104.0 (0.01), AVG Score: -104.63
Save 156 - Episode 1175/1400, Score: -107.0 (0.01), AVG Score: -104.67
Save 157 - Episode 1176/1400, Score: -101.0 (0.01), AVG Score: -104.65
Save 158 - Episode 1177/1400, Score: -105.0 (0.01), AVG Score: -104.64
Save 159 - Episode 1178/1400, Score: -106.0 (0.01), AVG Score: -104.64
Save 160 - Episode 1179/1400, Score: -104.0 (0.01), AVG Score: -104.61
Save 161 - Episode 1180/1400, Score: -108.0 (0.01), AVG Score: -104.62
Save 162 - Episode 1181/1400, Score: -104.0 (0.01), AVG Score: -104.58
Save 163 - Episode 1182/1400, Score: -105.0 (0.01), AVG Score: -104.6
Save 164 - Episode 1184/1400, Score: -103.0 (0.01), AVG Score: -104.59
Save 165 - Episode 1185/1400, Score: -106.0 (0.01), AVG Score: -104.59
Save 166 - Episode 1186/1400, Score: -103.0 (0.01), AVG Score: -104.54
Save 167 - Episode 1187/1400, Score: -97.0 (0.01), AVG Score: -104.42
Save 168 - Episode 1188/1400, Score: -87.0 (0.01), AVG Score: -104.29
Save 169 - Episode 1189/1400, Score: -104.0 (0.01), AVG Score: -104.27
Save 170 - Episode 1190/1400, Score: -83.0 (0.01), AVG Score: -104.04
Save 171 - Episode 1191/1400, Score: -104.0 (0.01), AVG Score: -103.98
Save 172 - Episode 1192/1400, Score: -103.0 (0.01), AVG Score: -103.9
Save 173 - Episode 1193/1400, Score: -85.0 (0.01), AVG Score: -103.65
Save 174 - Episode 1194/1400, Score: -105.0 (0.01), AVG Score: -103.57
Save 175 - Episode 1195/1400, Score: -102.0 (0.01), AVG Score: -103.55
Save 176 - Episode 1196/1400, Score: -105.0 (0.01), AVG Score: -103.48
Save 177 - Episode 1197/1400, Score: -85.0 (0.01), AVG Score: -103.26
Save 178 - Episode 1198/1400, Score: -86.0 (0.01), AVG Score: -102.98
Save 179 - Episode 1199/1400, Score: -104.0 (0.01), AVG Score: -102.94
Save 180 - Episode 1200/1400, Score: -103.0 (0.01), AVG Score: -102.91
Save 181 - Episode 1201/1400, Score: -89.0 (0.01), AVG Score: -102.74
