Save 82 - Episode 974/1250, Score: -90.0 (0.01), AVG Score: -103.83
Save 83 - Episode 975/1250, Score: -90.0 (0.01), AVG Score: -103.62
Save 84 - Episode 976/1250, Score: -105.0 (0.01), AVG Score: -103.63
Save 85 - Episode 977/1250, Score: -102.0 (0.01), AVG Score: -103.6
Save 86 - Episode 978/1250, Score: -85.0 (0.01), AVG Score: -103.28
Save 87 - Episode 979/1250, Score: -106.0 (0.01), AVG Score: -103.26
Save 88 - Episode 980/1250, Score: -99.0 (0.01), AVG Score: -103.37
Save 89 - Episode 982/1250, Score: -106.0 (0.01), AVG Score: -103.6
Save 90 - Episode 983/1250, Score: -106.0 (0.01), AVG Score: -103.59
Save 91 - Episode 984/1250, Score: -87.0 (0.01), AVG Score: -103.37
Save 92 - Episode 985/1250, Score: -99.0 (0.01), AVG Score: -102.98
Save 93 - Episode 986/1250, Score: -83.0 (0.01), AVG Score: -102.72
Save 94 - Episode 988/1250, Score: -108.0 (0.01), AVG Score: -102.73
Save 95 - Episode 990/1250, Score: -87.0 (0.01), AVG Score: -102.47
Save 96 - Episode 996/1250, Score: -86.0 (0.01), AVG Score: -102.57
Save 97 - Episode 1003/1250, Score: -86.0 (0.01), AVG Score: -102.73
Save 98 - Episode 1004/1250, Score: -108.0 (0.01), AVG Score: -102.77
Save 99 - Episode 1005/1250, Score: -107.0 (0.01), AVG Score: -102.76
Save 100 - Episode 1010/1250, Score: -105.0 (0.01), AVG Score: -102.96
Save 101 - Episode 1011/1250, Score: -106.0 (0.01), AVG Score: -102.94
Save 102 - Episode 1013/1250, Score: -88.0 (0.01), AVG Score: -103.12
Save 103 - Episode 1016/1250, Score: -104.0 (0.01), AVG Score: -103.35
Save 104 - Episode 1019/1250, Score: -105.0 (0.01), AVG Score: -103.42
Save 105 - Episode 1021/1250, Score: -105.0 (0.01), AVG Score: -103.39
Save 106 - Episode 1022/1250, Score: -108.0 (0.01), AVG Score: -103.55
Save 107 - Episode 1023/1250, Score: -102.0 (0.01), AVG Score: -103.71
Save 108 - Episode 1024/1250, Score: -88.0 (0.01), AVG Score: -103.67
Save 109 - Episode 1026/1250, Score: -106.0 (0.01), AVG Score: -103.64
Save 110 - Episode 1029/1250, Score: -105.0 (0.01), AVG Score: -103.95
Save 111 - Episode 1030/1250, Score: -84.0 (0.01), AVG Score: -103.95
Save 112 - Episode 1031/1250, Score: -104.0 (0.01), AVG Score: -103.98
Save 113 - Episode 1033/1250, Score: -100.0 (0.01), AVG Score: -103.94
Save 114 - Episode 1034/1250, Score: -108.0 (0.01), AVG Score: -103.96
Save 115 - Episode 1035/1250, Score: -87.0 (0.01), AVG Score: -103.79
Save 116 - Episode 1036/1250, Score: -105.0 (0.01), AVG Score: -103.71
Save 117 - Episode 1037/1250, Score: -108.0 (0.01), AVG Score: -103.92
Save 118 - Episode 1038/1250, Score: -97.0 (0.01), AVG Score: -103.87
Save 119 - Episode 1039/1250, Score: -105.0 (0.01), AVG Score: -103.84
Save 120 - Episode 1041/1250, Score: -86.0 (0.01), AVG Score: -103.75
Save 121 - Episode 1045/1250, Score: -107.0 (0.01), AVG Score: -104.0
Save 122 - Episode 1046/1250, Score: -108.0 (0.01), AVG Score: -103.98
Save 123 - Episode 1047/1250, Score: -107.0 (0.01), AVG Score: -104.18
Save 124 - Episode 1049/1250, Score: -103.0 (0.01), AVG Score: -104.15
Save 125 - Episode 1051/1250, Score: -105.0 (0.01), AVG Score: -104.34
Save 126 - Episode 1052/1250, Score: -106.0 (0.01), AVG Score: -104.34
Save 127 - Episode 1053/1250, Score: -85.0 (0.01), AVG Score: -104.1
Save 128 - Episode 1054/1250, Score: -89.0 (0.01), AVG Score: -104.11
Save 129 - Episode 1055/1250, Score: -85.0 (0.01), AVG Score: -104.06
Save 130 - Episode 1056/1250, Score: -107.0 (0.01), AVG Score: -104.07
Save 131 - Episode 1057/1250, Score: -108.0 (0.01), AVG Score: -104.09
Save 132 - Episode 1058/1250, Score: -108.0 (0.01), AVG Score: -104.07
Save 133 - Episode 1060/1250, Score: -104.0 (0.01), AVG Score: -104.12
Save 134 - Episode 1061/1250, Score: -105.0 (0.01), AVG Score: -104.11
Save 135 - Episode 1062/1250, Score: -108.0 (0.01), AVG Score: -104.06
Save 136 - Episode 1063/1250, Score: -107.0 (0.01), AVG Score: -104.07
Save 137 - Episode 1064/1250, Score: -108.0 (0.01), AVG Score: -104.12
Save 138 - Episode 1067/1250, Score: -107.0 (0.01), AVG Score: -104.42
Save 139 - Episode 1068/1250, Score: -106.0 (0.01), AVG Score: -104.44
Save 140 - Episode 1069/1250, Score: -103.0 (0.01), AVG Score: -104.4
Save 141 - Episode 1070/1250, Score: -106.0 (0.01), AVG Score: -104.37
Save 142 - Episode 1071/1250, Score: -106.0 (0.01), AVG Score: -104.4
Save 143 - Episode 1072/1250, Score: -102.0 (0.01), AVG Score: -104.36
Save 144 - Episode 1073/1250, Score: -101.0 (0.01), AVG Score: -104.41
Save 145 - Episode 1074/1250, Score: -104.0 (0.01), AVG Score: -104.55
Save 146 - Episode 1075/1250, Score: -86.0 (0.01), AVG Score: -104.51
Save 147 - Episode 1076/1250, Score: -94.0 (0.01), AVG Score: -104.4
Save 148 - Episode 1077/1250, Score: -106.0 (0.01), AVG Score: -104.44
Save 149 - Episode 1079/1250, Score: -104.0 (0.01), AVG Score: -104.73
Save 150 - Episode 1080/1250, Score: -107.0 (0.01), AVG Score: -104.81
Save 151 - Episode 1082/1250, Score: -108.0 (0.01), AVG Score: -104.84
Save 152 - Episode 1083/1250, Score: -105.0 (0.01), AVG Score: -104.83
Save 153 - Episode 1084/1250, Score: -86.0 (0.01), AVG Score: -104.82
Save 154 - Episode 1085/1250, Score: -107.0 (0.01), AVG Score: -104.9
Save 155 - Episode 1087/1250, Score: -106.0 (0.01), AVG Score: -105.13
Save 156 - Episode 1088/1250, Score: -85.0 (0.01), AVG Score: -104.9
Save 157 - Episode 1089/1250, Score: -83.0 (0.01), AVG Score: -104.59
Save 158 - Episode 1090/1250, Score: -92.0 (0.01), AVG Score: -104.64
Save 159 - Episode 1091/1250, Score: -103.0 (0.01), AVG Score: -104.58
Save 160 - Episode 1094/1250, Score: -86.0 (0.01), AVG Score: -104.22
Save 161 - Episode 1095/1250, Score: -103.0 (0.01), AVG Score: -104.12
Save 162 - Episode 1098/1250, Score: -102.0 (0.01), AVG Score: -104.46
Save 163 - Episode 1101/1250, Score: -88.0 (0.01), AVG Score: -104.32
